theta,phi,areaA,areaB,areaI
0.8634454,6.183251,0.083530426,0.08353424,0.027111053
0.8634663,3.782878,0.084877014,0.08488464,0.009483337
0.86348724,1.3825049,0.085803986,0.08578491,0.0
0.8635082,5.2653174,0.08563995,0.08564377,0.0013961792
0.86352915,2.8649445,0.0838356,0.0838356,0.023899078
0.86355007,0.46457148,0.08431625,0.08431625,0.016456604
0.863571,4.3551965,0.08552933,0.08558655,0.0
0.86359197,1.9548235,0.08578873,0.08578873,0.0
0.8636129,5.837636,0.08424759,0.084251404,0.017269135
0.8636338,3.437263,0.083869934,0.08383942,0.023296356
0.86365473,1.03689,0.08563995,0.0856514,0.0010986328
0.8636757,4.9197025,0.08578491,0.085796356,0.0
0.86369663,2.5193295,0.084812164,0.08480835,0.010112762
0.86371756,0.118956566,0.083545685,0.083553314,0.026927948
0.8637385,4.001769,0.08538437,0.085380554,0.0038986206
0.8637594,1.6013961,0.08566284,0.08567047,0.0
0.8637804,5.4842086,0.08522034,0.08526993,0.0051345825
0.8638013,3.0838356,0.08341217,0.08341217,0.027233124
0.8638223,0.6834626,0.08494949,0.08494949,0.008106232
0.86384314,4.566275,0.08574295,0.085754395,0.0
0.8638641,2.1659021,0.085544586,0.085552216,0.0019760132
0.863885,6.0487146,0.083747864,0.083740234,0.025009155
0.863906,3.6483417,0.08442688,0.084430695,0.0146102905
0.8639269,1.2479687,0.08577728,0.08575821,0.0
0.86394787,5.130781,0.085739136,0.08572769,0.0
0.86396873,2.7382207,0.0840683,0.08407974,0.019054413
0.8639897,0.3378477,0.08388519,0.08388519,0.02180481
0.8640106,4.22066,0.0856514,0.08564758,5.1498413E-4
0.86403155,1.8202872,0.08577728,0.08578491,0.0
0.8640524,5.7030997,0.084667206,0.08466339,0.011604309
0.86407346,3.3027267,0.083660126,0.08365631,0.02640152
0.86409426,0.90235376,0.085422516,0.08542633,0.0031166077
0.8641153,4.7851663,0.08567047,0.085674286,0.0
0.86413616,2.3847933,0.08510971,0.085113525,0.0060806274
